This list contains all games supported by FinalBurn Neo.

724 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| ddsomar1	|  	| Dungeons & Dragons - shadow over mystara (960208 Asia)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2a.03c| src/burn/drv/capcom/d_cps2.cpp|
| ddsomr3	|  	| Dungeons & Dragons - shadow over mystara (960208 Euro)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2e.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddsomr2	|  	| Dungeons & Dragons - shadow over mystara (960209 Euro)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2e.03b| src/burn/drv/capcom/d_cps2.cpp|
| ddsomur1	|  	| Dungeons & Dragons - shadow over mystara (960209 USA)	| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2u.03d| src/burn/drv/capcom/d_cps2.cpp|
| ddsomb	|  	| Dungeons & Dragons - shadow over mystara (960223 Brazil)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2b.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddsomr1	|  	| Dungeons & Dragons - shadow over mystara (960223 Euro)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2e.03d| src/burn/drv/capcom/d_cps2.cpp|
| ddsomh	|  	| Dungeons & Dragons - shadow over mystara (960223 Hispanic)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2h.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddsomjr2	|  	| Dungeons & Dragons - shadow over mystara (960223 Japan)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2j.03b| src/burn/drv/capcom/d_cps2.cpp|
| ddsoma	|  	| Dungeons & Dragons - shadow over mystara (960619 Asia)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2a.03g| src/burn/drv/capcom/d_cps2.cpp|
| ddsom		|  	| Dungeons & Dragons - shadow over mystara (960619 Euro)| 		| 1996	| Capcom	| CPS2		| 					| dd2e.03e| src/burn/drv/capcom/d_cps2.cpp|
| ddsomj	|  	| Dungeons & Dragons - shadow over mystara (960619 Japan)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2j.03g| src/burn/drv/capcom/d_cps2.cpp|
| ddsomud	|  	| Dungeons & Dragons - shadow over mystara (960619 USA Phoenix Edition)| ddsom	| 1996	| bootleg	| CPS2		| 					| dd2ud.03g| src/burn/drv/capcom/d_cps2.cpp|
| ddsomu	|  	| Dungeons & Dragons - shadow over mystara (960619 USA)	| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2u.03g| src/burn/drv/capcom/d_cps2.cpp|
| ddtodar1	|  	| Dungeons & Dragons - tower of doom (940113 Asia)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dada.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddtodr1	|  	| Dungeons & Dragons - tower of doom (940113 Euro)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dade.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddtodhr2	|  	| Dungeons & Dragons - tower of doom (940113 Hispanic)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadh.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddtodjr2	|  	| Dungeons & Dragons - tower of doom (940113 Japan)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadj.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddtodur1	|  	| Dungeons & Dragons - tower of doom (940113 USA)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadu.03a| src/burn/drv/capcom/d_cps2.cpp|
| ddtodhr1	|  	| Dungeons & Dragons - tower of doom (940125 Hispanic)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadh.03b| src/burn/drv/capcom/d_cps2.cpp|
| ddtodjr1	|  	| Dungeons & Dragons - tower of doom (940125 Japan)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadj.03b| src/burn/drv/capcom/d_cps2.cpp|
| ddtodu	|  	| Dungeons & Dragons - tower of doom (940125 USA)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadu.03b| src/burn/drv/capcom/d_cps2.cpp|
| ddtoda	|  	| Dungeons & Dragons - tower of doom (940412 Asia)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dada.03c| src/burn/drv/capcom/d_cps2.cpp|
| ddtodd	|  	| Dungeons & Dragons - tower of doom (940412 Euro Phoenix Edition)| ddtod	| 1994	| bootleg	| CPS2		| 					| daded.03c| src/burn/drv/capcom/d_cps2.cpp|
| ddtod		|  	| Dungeons & Dragons - tower of doom (940412 Euro)	| 		| 1994	| Capcom	| CPS2		| 					| dade.03c| src/burn/drv/capcom/d_cps2.cpp|
| ddtodh	|  	| Dungeons & Dragons - tower of doom (940412 Hispanic)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadh.03c| src/burn/drv/capcom/d_cps2.cpp|
| ddtodj	|  	| Dungeons & Dragons - tower of doom (940412 Japan)	| ddtod		| 1994	| Capcom	| CPS2		| 					| dadj.03c| src/burn/drv/capcom/d_cps2.cpp|
| dynwar	|  	| Dynasty Wars (US set 1)				| 		| 1989	| Capcom	| CPS1		| 					| 30.11f| src/burn/drv/capcom/d_cps1.cpp|
| dynwara	|  	| Dynasty Wars (US set 2)				| dynwar	| 1989	| Capcom	| CPS1		| 					| tke_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| ecofghtra	|  	| Eco Fighters (931203 Asia)				| ecofghtr	| 1993	| Capcom	| CPS2		| 					| ueca.03| src/burn/drv/capcom/d_cps2.cpp|
| ecofghtr	|  	| Eco Fighters (931203 etc)				| 		| 1993	| Capcom	| CPS2		| 					| uece.03| src/burn/drv/capcom/d_cps2.cpp|
| ecofghtrh	|  	| Eco Fighters (931203 Hispanic)			| ecofghtr	| 1993	| Capcom	| CPS2		| 					| uech.03| src/burn/drv/capcom/d_cps2.cpp|
| ecofghtru1	|  	| Eco Fighters (931203 USA)				| ecofghtr	| 1993	| Capcom	| CPS2		| 					| uecu.03| src/burn/drv/capcom/d_cps2.cpp|
| ecofghtrd	|  	| Eco Fighters (931203 World Phoenix Edition)		| ecofghtr	| 1993	| bootleg	| CPS2		| 					| ueced.03| src/burn/drv/capcom/d_cps2.cpp|
| ecofghtru	|  	| Eco Fighters (940215 USA)				| ecofghtr	| 1993	| Capcom	| CPS2		| 					| uecu.03a| src/burn/drv/capcom/d_cps2.cpp|
| fcrash	|  	| Final Crash (bootleg (with 2xYM2203 + 2xMSM5205))	| ffight	| 1990	| Playmark	| CPS1		| 					| 9.bin| src/burn/drv/capcom/d_cps1.cpp|
| ffightj1	|  	| Final Fight (900112 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					| ffj_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| ffightua	|  	| Final Fight (900112 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					| ffu_36.11f| src/burn/drv/capcom/d_cps1.cpp|
| ffightj2	|  	| Final Fight (900305 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					| ffj_36a.12f| src/burn/drv/capcom/d_cps1.cpp|
| ffightj3	|  	| Final Fight (900405 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					| ffj_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| ffightub	|  	| Final Fight (900424 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					| ffu_30_3.11f| src/burn/drv/capcom/d_cps1.cpp|
| ffightj4	|  	| Final Fight (900613 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					| ff_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| ffightuc	|  	| Final Fight (900613 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					| ffu_30.11f| src/burn/drv/capcom/d_cps1.cpp|
